"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Spence, Mitch","687765","103","12",36.9,"111.2","90","80.1","91.9","89","400","154","385","41",39.8,"10",9.7,6.5
"Abbott, Andrew","671096","102","21.5",40.2,"107.1","88.1","78.2","91.4","82","413","199","389","32",31.4,"10",9.8,6.1
"Schmidt, Clarke","657376","100","16.3",39,"112.5","88.4","76.9","93.9","83.1","433","180","391","37",37,"8",8,5.1
"Matz, Steven","571927","99","11.7",31.3,"110.9","90","79.1","94.4","86.9","379","157",,"45",45.5,"5",5.1,3.8
"Chivilli, Angel","683409","99","1.7",30.3,"112.8","89.2","76.7","97.1","83.5","425","128","400","40",40.4,"10",10.1,7.5
"Feltner, Ryan","663372","98","11.1",27.6,"112.1","90","79.8","92.1","89.2","414","156","400","35",35.7,"4",4.1,3
"Wesneski, Hayden","669713","95","16.3",35.8,"111.5","89.7","79.3","92.4","88.6","416","173","390","40",42.1,"10",10.5,7.6
"Kolek, Stephen","663568","94","6.9",20.2,"111.9","93.1","82.8","95.2","92.1","408","141","376","50",53.2,"5",5.3,3.9
"Yarbrough, Ryan","642232","94","15.4",38.3,"110.4","84.1","72.3","87.5","80.9","440","166","379","24",25.5,"4",4.3,2.8
"Vasil, Mike","678024","93","12.4",29,"109.8","87.5","75.4","95.8","83.6","434","151","413","31",33.3,"9",9.7,6.7
"Casparius, Ben","676508","92","16.5",33.7,"109.9","86.8","76.8","90.7","80.2","384","183","384","25",27.2,"5",5.4,3.6
"Birdsong, Hayden","806185","91","19.6",39.6,"109.3","89.1","78.4","92.7","84.4","417","186","387","41",45.1,"9",9.9,6.4
"Suter, Brent","608718","90","14.5",32.2,"110.6","83.1","70.1","88.7","78","399","164","386","25",27.8,"7",7.8,6.2
"Hanifee, Brenan","669724","90","3.6",30,"115.2","89.7","78.6","95.7","86.4","406","136","391","39",43.3,"6",6.7,5.3
"Knack, Landon","689017","90","14.6",44.4,"117.9","92.3","82.1","96.8","86.9","411","190","393","48",53.3,"12",13.3,9.3
"Phillips, Tyler","663969","89","9.9",32.6,"109.9","87.3","75.9","90.3","84.6","416","151","411","28",31.5,"7",7.9,6.2
"Gillispie, Connor","687362","88","16.5",35.2,"115","91.4","80.5","97","86.6","417","168","386","44",50,"11",12.5,8.9
"Junis, Jakob","596001","87","13.9",39.1,"109.8","89.4","79.1","92.7","85.1","423","174","397","33",37.9,"6",6.9,5.3
"Suárez, Ranger","624133","85","12.6",32.9,"109.7","85.9","74.7","88.8","85.8","391","156","391","23",27.1,"1",1.2,0.8
"Ross, Joe","605452","84","11.4",38.1,"110.5","89.6","78.5","97.1","84.8","417","163","400","35",41.7,"8",9.5,7.2
"Bivens, Spencer","702352","84","8.4",28.6,"109.7","87","76","94.6","82.7","413","142","384","29",34.5,"6",7.1,5.4
"Giolito, Lucas","608337","84","14.2",35.7,"112.3","91","81.5","93.5","89.2","424","172","411","34",40.5,"8",9.5,7
"Herget, Jimmy","623474","84","16.5",39.3,"109.9","89.4","78.1","94.5","83.6","409","188","392","34",40.5,"5",6,4.4
"Ferrer, Jose A.","678606","84","3.8",26.2,"112.6","89.1","78.9","89.5","89.1","383","122","383","31",36.9,"2",2.4,1.7
"Buttó, José","676130","84","9.3",35.7,"112.6","91.1","81.4","96.9","86.3","411","155","408","37",44,"11",13.1,8.9
"Bellozo, Valente","678368","83","26.2",31.3,"108.5","88.6","77.7","93.1","84.4","397","198","371","28",33.7,"9",10.8,7.6
"Vargas, Carlos","672841","82","4.1",24.4,"117.7","88.8","78.7","93","86.3","444","140","412","27",32.9,"5",6.1,4.4
"Wentz, Joey","666214","81","14.6",33.3,"111.4","92.4","83.4","93.4","92.1","403","169","375","39",48.1,"7",8.6,6.1
"Hoglund, Gunnar","680684","81","15.5",37,"110.5","92.2","82.7","95.1","88.3","439","194","403","35",43.2,"11",13.6,9.8
"Jacob, Alek","689690","80","18.9",36.3,"111","85.7","72.9","91.5","79.7","427","192","385","27",33.8,"7",8.8,6.1
"Leahy, Kyle","681517","80","10.2",36.3,"115.2","89.3","76.9","94.6","86.5","419","154","395","37",46.3,"9",11.3,8.2
"Brazobán, Huascar","623211","79","12",27.8,"106.7","87.8","77.2","91.2","85.9","398","147","384","29",36.7,"5",6.3,4.1
"García, Luis","472610","78","0",37.2,"110.5","91.8","80.8","98.6","86.9","386","132","386","39",50,"6",7.7,5.2
"Bird, Jake","656234","78","8.5",28.2,"110.7","89.3","77.3","91.5","88","414","142","402","35",44.9,"4",5.1,3
"Rodríguez, Manuel","655889","77","1.7",27.3,"110.9","88.4","76.4","95","85.6","403","119","371","34",44.2,"3",3.9,2.9
"Santillan, Tony","663574","77","24.2",37.7,"111.2","91.1","81","94.4","88.1","437","197","392","32",41.6,"6",7.8,5.7
"Anderson, Grant","681982","77","10.5",28.6,"110.3","88.6","77.8","91.2","85.5","399","165","390","27",35.1,"3",3.9,2.5
"Beeks, Jalen","656222","77","7.4",28.6,"111.9","85.4","72.2","94.3","80.1","405","134","388","24",31.2,"5",6.5,4.4
"Dreyer, Jack","676263","76","17.1",27.6,"107.7","90.5","82","94.3","88.4","369","157",,"30",39.5,"1",1.3,0.8
"Bazardo, Eduard","660825","76","18.7",38.2,"114.2","85.9","74","90.7","82.1","411","187","393","25",32.9,"4",5.3,3.7
"Soroka, Michael","647336","76","10.8",25,"110.1","91.3","82.3","94.7","89","390","159","377","35",46.1,"4",5.3,3.7
"López, Jorge","605347","76","9.1",40.8,"108.5","91.7","81.6","93.6","90","411","162","411","38",50,"5",6.6,5
"Zerpa, Angel","672582","75","-4.4",28,"111.2","89.9","79.2","97.7","86.5","424","111","403","32",42.7,"6",8,6.3
"Lynch IV, Daniel","663738","75","11.1",24,"116","87.7","75","93.7","86.8","425","147","421","32",42.7,"5",6.7,4.7
"Ashcraft, Graham","668933","74","6.5",28.4,"110.3","84.9","71.4","90.5","83.1","385","123","379","25",33.8,"2",2.7,1.8
"Rocker, Kumar","677958","73","9.1",38.4,"112.2","92","81","92.9","92.5","425","161","413","37",50.7,"9",12.3,9.5
"Cantillo, Joey","676282","73","12.1",35.6,"110.6","89.6","78.3","92.8","86.6","421","163","406","31",42.5,"7",9.6,5.7
"Hurter, Brant","676428","72","12.8",33.3,"106.8","88.1","77.9","90.3","87.6","396","151","373","24",33.3,"3",4.2,2.8
"Whitlock, Garrett","676477","72","15.9",40.3,"119","88.6","76.8","93.4","81.9","401","197","395","25",34.7,"10",13.9,8.3
"Hill, Tim","657612","72","-9",18.1,"114.1","89","76.2","96.8","86.2","424","98","400","34",47.2,"6",8.3,6.6
"Banda, Anthony","607455","71","13",39.4,"112.4","90.4","81.4","91.4","89.6","405","182","401","27",38,"9",12.7,8.8
"Webb, Jacob","657097","71","20.8",36.6,"112.2","87.3","76.5","90.7","85","431","188","404","24",33.8,"3",4.2,3
"Lawrence, Casey","596271","71","15.1",42.3,"110.6","89.3","77.5","94.9","84.6","406","170","406","31",43.7,"9",12.7,11.3
"Shugart, Chase","663767","71","18.5",40.8,"111.4","86.1","74.7","91.4","80.6","391","174","387","25",35.2,"3",4.2,3.1
"Morejon, Adrian","670970","71","7.7",33.8,"111.5","86.8","75.8","90.1","84.9","399","130","399","19",26.8,"3",4.2,3.2
"Holton, Tyler","663947","71","9.1",35.2,"110","88.4","76.9","90","90","419","149","383","29",40.8,"5",7,5
"Milner, Hoby","571948","70","8.3",31.4,"106.7","87.1","76.5","93.2","82.8","399","144",,"22",31.4,"9",12.9,9.4
"Snider, Collin","676092","70","14.1",30,"116.5","90.1","78.5","95.6","85.9","421","159","392","31",44.3,"7",10,7.1
"Myers, Tobias","668964","70","14.2",32.9,"110.1","90.6","80.1","94.1","89.6","420","170","382","31",44.3,"3",4.3,3.1
"Peralta, Wandy","593974","70","1.5",25.7,"116.2","86.8","74","92.9","83.5","375","124","373","24",34.3,"5",7.1,5.1
"Clase, Emmanuel","661403","69","12.2",36.2,"111.4","87.8","76.8","93.6","82.5","392","156","392","27",39.1,"4",5.8,4
